Brand,Name,Top,Middle,Base,Gender,Year
Yves Saint Laurent,Libre Le Parfum,"Ginger, Saffron, Mandarin Orange, Bergamot","Orange Blossom, Lavender","Bourbon Vanilla, Honey, Tonka Bean, Vetiver",Women,2022
Givenchy,L'Interdit Eau de Parfum Rouge,"Ginger, Blood Orange","Tuberose, Jasmine, Pimento Leaf","Sandalwood, Patchouli, Vetiver",Women,2022
Kilian,Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood",Women,2022
Jean Paul Gaultier,La Belle Le Parfum,"Pear","Tonka Bean, Jasmine","Vanilla",Women,2022
Narciso Rodriguez,Musc Noir Rose For Her,"Plum, Pink Pepper, Bergamot","Musk, Rose, Tuberose","Vanilla",Women,2022
Guerlain, Shalimar Millésime Tonka,"Bitter Almond, Bergamot","Iris, Jasmine Sambac, Rose","Tonka Bean, Vanilla",Women,2022
Parfums de Marly, Delina La Rosée,"Litchi, Pear, Bergamot","Turkish Rose, Peony, Watery Notes, Floral Notes","White Musk, Woody Notes, Haitian Vetiver",Women, 2022
Mugler, Alien Goddess Intense,"Coconut, Bergamot","Jasmine, Jasmine Tea","Vanilla, Benzoin, Cashmere Wood", Women, 2022
Carolina Herrera, Very Good Girl,"Litchi, Red Currant","Rose","Vanilla, Vetiver", Women, 2022
Dior, Vanilla Diorama,"Orange, Pink Pepper, Lemon","Rum, Cacao, Cardamom","Bourbon Vanilla, Sandalwood, Patchouli", Women, 2022
Dior, Sauvage Elixir,"Nutmeg, Cinnamon, Cardamom, Grapefruit","Lavender","Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver", Men, 2022
Givenchy, Gentleman Eau de Parfum Reserve Privée,"Bergamot","Iris, Chestnut","Whiskey, Woody Notes, Amber", Men, 2022
Tom Ford, Ombré Leather Parfum,"Violet Leaf, Cedar","Jasmine Sambac, Orris","Leather, Woody Notes, Tobacco", Men, 2022
Yves Saint Laurent, La Nuit de L'Homme Bleu Électrique,"Cardamom, Ginger, Bergamot","Lavender, Geranium","Cedar, Vetiver", Men, 2022
Giorgio Armani, Emporio Armani Stronger With You Absolutely,"Rum, Elemi, Bergamot","Lavender, Davana","Madagascar Vanilla, Chestnut, Cedar, Patchouli", Men, 2022
Dior, Dior Homme Original,"Tuscan Iris","Guatemalan Cardamom","Vetiver", Men, 2022
Hermès, Terre d'Hermes Eau Givree,"Citron","Juniper Berries, Timur","Woody Notes, Mineral Notes", Men, 2022
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Men, 2022
Valentino, Valentino Uomo Intense,"Mandarin Orange, Nutmeg","Juniper, Sage","Iris, Vanilla, Leather, Tonka Bean, Patchouli", Men, 2022
Armaf, Club de Nuit Intense Man Parfum,"Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla", Men, 2022
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Unisex, 2022
Tom Ford, Ombré Leather Parfum,"Violet Leaf, Cedar","Jasmine Sambac, Orris","Leather, Woody Notes, Tobacco", Unisex, 2022
BDK Parfums, Gris Charnel Extrait,"Cardamom, Black Tea, Fig","Iris, Bourbon Vetiver, Cistus Incanus","Sandalwood, Madagascar Vanilla, Tonka Bean, Cedar, Indonesian Patchouli Leaf", Unisex, 2022
Hermès, Terre d'Hermes Eau Givree,"Citron","Juniper Berries, Timur","Woody Notes, Mineral Notes", Unisex, 2022
Guerlain, Shalimar Millésime Tonka,"Bitter Almond, Bergamot","Iris, Jasmine Sambac, Rose","Tonka Bean, Vanilla", Unisex, 2022
Dior, Vanilla Diorama,"Orange, Pink Pepper, Lemon","Rum, Cacao, Cardamom","Bourbon Vanilla, Sandalwood, Patchouli", Unisex, 2022
Dior, Tobacolor,"Peach, Honey","Citruses, Plum, Amber","Tobacco, Smoke, Honey", Unisex, 2022
Yves Saint Laurent, Babycat,"Black Pepper, Elemi, Pink Pepper","Olibanum, Saffron","Bourbon Vanilla, Suede, Cedar", Unisex, 2022
Maison Martin Margiela, Autumn Vibes,"Cardamom, Pink Pepper","Nutmeg, Maple, Carrot Seeds","Cedar, Moss", Unisex, 2022
Diptyque, Orphéon Eau de Parfum,"Juniper Berries","Jasmine","Powdery Notes, Cedar, Tonka Bean", Unisex, 2022
Yves Saint Laurent, Libre Intense,"Lavender, Mandarin Orange, Bergamot","Lavender, Tunisian Orange Blossom, Jasmine Sambac, Orchid","Madagascar Vanilla, Tonka Bean, Ambergris, Vetiver", Women, 2021
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Women, 2021
Givenchy, L'Interdit Eau de Parfum Intense,"Black Pepper","Tuberose, Sesame, Orange Blossom","Madagascar Vanilla, Patchouli, Vetiver", Women, 2021
Jean Paul Gaultier, La Belle Le Parfum,"Pear","Tonka Bean, Jasmine","Vanilla", Women, 2021
Guerlain, Shalimar Millésime Tonka,"Bitter Almond, Bergamot","Iris, Jasmine Sambac, Rose","Tonka Bean, Vanilla", Women, 2021
Givenchy, L'Interdit Eau de Parfum Rouge,"Ginger, Blood Orange","Tuberose, Jasmine, Pimento Leaf","Sandalwood, Patchouli, Vetiver", Women, 2021
Narciso Rodriguez, Musc Noir For Her,"Plum","Musk, Heliotrope","Suede", Women, 2021
Dolce&Gabbana, The Only One Eau de Parfum Intense,"Neroli, Green Apple, Italian Mandarin","Jasmine, Coconut, Orange Blossom","Vanilla, Cashmere Wood, Cedar", Women, 2021
Giorgio Armani, My Way,"Orange Blossom, Bergamot","Tuberose, Indian Jasmine","Madagascar Vanilla, White Musk, Virginian Cedar", Women, 2021
Tom Ford, Black Orchid,"Truffle, Plum","Rum, Ylang-Ylang, Black Orchid","Patchouli", Women, 2021
Dior, Sauvage Elixir,"Nutmeg, Cinnamon, Cardamom, Grapefruit","Lavender","Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver", Men, 2021
Jean Paul Gaultier, Le Male Le Parfum,"Cardamom","Lavender, Iris","Vanilla, Oriental Notes, Woody Notes", Men, 2021
Yves Saint Laurent, La Nuit de L'Homme Bleu Électrique,"Cardamom, Ginger, Bergamot","Lavender, Geranium","Cedar, Vetiver", Men, 2021
Dior, Dior Homme Original,"Tuscan Iris","Guatemalan Cardamom","Vetiver", Men, 2021
Tom Ford, Ombré Leather Parfum,"Violet Leaf, Cedar","Jasmine Sambac, Orris","Leather, Woody Notes, Tobacco", Men, 2021
Guerlain, L'Homme Idéal Extrême,"Almond, Pink Peper, Bergamot","Plum, Cinnamon, Heliotrope","Tobacco, Leather, Patchouli, Cedar", Men, 2021
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Men, 2021
Giorgio Armani, Emporio Armani Stronger With You Absolutely,"Rum, Elemi, Bergamot","Lavender, Davana","Madagascar Vanilla, Chestnut, Cedar, Patchouli", Men, 2021
Giorgio Armani, Acqua di Giò Profondo,"Sea Notes, Aquozone, Bergamot, Green Mandarin","Rosemary, Lavender, Cypress, Mastic","Mineral Notes, Musk, Patchouli, Amber", Men, 2021
Amouage, Interlude Black Iris,"Violet Leaf, Rosemary, Bergamot","Orris, Olibanum, Myrrh, Labdanum, Amber, Vanilla","Leather, Oud, Sandalwood, Patchouli, Cedar", Men, 2021
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Unisex, 2021
Tom Ford, Black Orchid,"Truffle, Plum","Rum, Ylang-Ylang, Black Orchid","Patchouli", Unisex, 2021
Maison Francis Kurkdjian, Baccarat Rouge 540 Extrait Limited Edition 2021,"Saffron, Bitter Almond","Virginian Cedar, Egyptian Jasmine","Ambergris, Ambroxan, Musk, Cashmeran, Woody Notes", Unisex, 2021
Tom Ford, Ombré Leather, Cardamom,"Leather, Jasmine Sambac","Amber, Moss, Patchouli", Unisex, 2021
Chanel, Le Lion de Chanel,"Bergamot, Lemon","Labdanum, Amber","Patchouli, Madagascar Vanilla, Musk, Sandalwood", Unisex, 2021
Dior, Vanilla Diorama,"Orange, Pink Pepper, Lemon","Rum, Cacao, Cardamom","Bourbon Vanilla, Sandalwood, Patchouli", Unisex, 2021
Xerjoff, Italica,"Milk, Almond, Saffron","Toffee, Bourbon Vanilla","White Musk, Sandalwood", Unisex, 2021
Guerlain, Shalimar Millésime Vanilla Planifolia,"Bergamot, Almond","Rose, Vanilla","Vanilla, Opopanine, Musk", Unisex, 2021
Dior, Tobacolor,"Peach, Honey","Citruses, Plum, Amber","Tobacco, Smoke, Honey", Unisex, 2021
Diptyque, Orphéon Eau de Parfum,"Juniper Berries","Jasmine","Powdery Notes, Cedar, Tonka Bean", Unisex, 2021
Guerlain, Mon Guerlain Eau de Parfum,"Lavender, Mandarin Orange, Bergamot","Tahitian Vanilla, Madagascar Vanilla, Iris, Jasmine Sambac, Rose","Coumarin, Patchouli, Licorice, Benzoin, Australian Sandalwood, White Musk", Women, 2020
Yves Saint Laurent, Libre,"Lavender, Mandarin Orange, Black Currant, Petitgrain","Lavender, Orange Blossom, Jasmine","Madagascar Vanilla, Musk, Cedar, Ambergris", Women, 2020
Chanel, Chance Eau Tendre Eau de Parfum,"Quince, Grapefruit","Rose, Jasmine","White Musk", Women, 2020
Narciso Rodriguez, Pure Musc For Her,"Musk","Flowers","Cashmeran", Women, 2020
Jean Paul Gaultier, La Belle,"Pear, Bergamot","Floral Notes, Leather","Vanilla, Vetiver, Amber, Musk", Women, 2020
Guerlain, Shalimar Philtre de Parfum,"Lemon, Bergamot, Lavender","Iris, Jasmine, Rose","Vanilla, Tolu Balsam, Patchouli", Women, 2020
Tom Ford, Black Orchid,"Truffle, Plum","Rum, Ylang-Ylang, Black Orchid","Patchouli", Women, 2020
Yves Saint Laurent, Libre Intense,"Lavender, Mandarin Orange, Bergamot","Lavender, Tunisian Orange Blossom, Jasmine Sambac, Orchid","Madagascar Vanilla, Tonka Bean, Ambergris, Vetiver", Women, 2020
Givenchy, L'Interdit Eau de Parfum Intense,"Black Pepper","Tuberose, Sesame, Orange Blossom","Madagascar Vanilla, Patchouli, Vetiver", Women, 2020
Chanel, Coco Mademoiselle L'Eau Privée,"Mandarin Orange","Rose, Jasmine","White Musk", Women, 2020
Guerlain, L'Homme Idéal Extrême,"Almond, Pink Peper, Bergamot","Plum, Cinnamon, Heliotrope","Tobacco, Leather, Patchouli, Cedar", Men, 2020
Jean Paul Gaultier, Le Male Le Parfum,"Cardamom","Lavender, Iris","Vanilla, Oriental Notes, Woody Notes", Men, 2020
Tom Ford, Beau De Jour Eau de Parfum,"Lavender","Rosemary, Oakmoss, Mint, Basil, Geranium","Patchouli, Amber", Men, 2020
Giorgio Armani, Acqua di Giò Profondo,"Sea Notes, Aquozone, Bergamot, Green Mandarin","Rosemary, Lavender, Cypress, Mastic","Mineral Notes, Musk, Patchouli, Amber", Men, 2020
Moschino, Toy Boy,"Pink Pepper, Pear, Indonesian Nutmeg, Elemi, Bergamot","Rose, Clove, Magnolia, Flax","Cashmeran, Haitian Vetiver, Sylkolide, Sandalwood, Amber", Men, 2020
Montblanc, Explorer,"Bergamot, Pink Pepper, Clary Sage","Haitian Vetiver, Leather","Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod", Men, 2020
Amouage, Interlude Black Iris,"Violet Leaf, Rosemary, Bergamot","Orris, Olibanum, Myrrh, Labdanum, Amber, Vanilla","Leather, Oud, Sandalwood, Patchouli, Cedar", Men, 2020
Cartier, Pasha de Cartier Parfum,"Pine","Labdanum","Liquor, Sandalwood, Ronka Bean", Men, 2020
Dior, Sauvage Parfum,"Bergamot, Mandarin Orange, Elemi","Sandalwood","Olibanum, Tonka Bean, Vanilla", Men, 2020
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Men, 2020
Tom Ford, Black Orchid,"Truffle, Plum","Rum, Ylang-Ylang, Black Orchid","Patchouli", Unisex, 2020
Kilian, Angels' Share Anniversary Edition,"Cognac","Oak, Cinnamon, Tonka Bean","Vanilla, Praline, Sandalwood", Unisex, 2020
Nishane, Ani,"Ginger, Bergamot, Pink Pepper","Cardamom, Black Pepper, Turkish Rose","Vanilla, Benzoin, Sandalwood, Cedar, Ambergris, Patchouli, Musk", Unisex, 2020
Gucci, Mémoire d’une Odeur,"Chamomile, Bitter Almond","Musk, Indian Jasmine, Jasmine","Sandalwood, Cedar, Vanilla", Unisex, 2020
Maison Martin Margiela, Whispers in the Library,"Pink Pepper, Orange Flower, Patchouli","Cypriol, Tonka Bean, Benzoin Siam","Vanilla, Cedarwood, Vetiver", Unisex, 2020
Hermès, L'Ombre Des Merveilles,"Black Tea","Incense","Tonka Bean", Unisex, 2020
Zoologist Perfumes, Bees,"Beeswax, Ginger, Orange","Mimosa, Broom, Heliotrope, Orange Blossom","Vanilla, Benzoin, Tonka Bean, Sandalwood, Labdanum, Musk", Unisex, 2020
Guerlain, Iris Torréfié,"Cardamom, Coffee, Bergamot","Iris, Ambrette","Leather, Tea, Vanilla, Amber", Unisex, 2020
Mancera, Instant Crush,"Saffron, Ginger, Sicilian Mandarin, Sicilian Bergamot","Amberwood, Moroccan Rose, Egyptian Jasmine, Indonesian Patchouli Leaf","Madagascar Vanilla, White Musk, Sandalwood, Oakmoss", Unisex, 2020
Chanel, Coromandel Parfum,"Bitter Orange, Neroli, Citruses","Patchouli, Orris Root, Jasmine, Rose","Olibanum, Benzoin, Labdanum", Unisex, 2020
Guerlain, Mon Guerlain Eau de Parfum,"Lavender, Mandarin Orange, Bergamot","Tahitian Vanilla, Madagascar Vanilla, Iris, Jasmine Sambac, Rose","Coumarin, Patchouli, Licorice, Benzoin, Australian Sandalwood, White Musk", Women, 2019
Chanel, Coco Mademoiselle Intense,"Sicilian Orange, Calabrian Bergamot, Lemon","Rose, Fruity Notes, Jasmine","Patchouli, Madagascar Vanilla, Tonka Bean, White Musk, Labdanum", Women, 2019
Chanel, Chance Eau Tendre Eau de Parfum,"Quince, Grapefruit","Rose, Jasmine","White Musk", Women, 2019
Narciso Rodriguez, Pure Musc For Her,"Musk","Flowers","Cashmeran", Women, 2019
Chloé, Nomade,"Mirabelle, Bergamot, Lemon, Orange","Freesia, Peach, Jasmine, Rose","Oakmoss, Patchouli, Amberwood, White Musk, Sandalwood", Women, 2019
Givenchy, L'Interdit Eau de Parfum,"Pear, Bergamot","Tuberose, Orange Blossom, Jasmine Sambac","Patchouli, Vanilla, Ambroxan, Vetiver", Women, 2019
Yves Saint Laurent, Libre,"Lavender, Mandarin Orange, Black Currant, Petitgrain","Lavender, Orange Blossom, Jasmine","Madagascar Vanilla, Musk, Cedar, Ambergris", Women, 2019
Chanel, Coromandel Parfum,"Bitter Orange, Neroli, Citruses","Patchouli, Orris Root, Jasmine, Rose","Olibanum, Benzoin, Labdanum", Women, 2019
Tom Ford, Lost Cherry,"Bitter Almond, Liquor, Black Cherry","Sour Cherry, Plum, Turkish Rose, Jasmine Sambac","Tonka Bean, Vanilla, Cinnamon, Peru Balsam, Benzoin, Sandalwood, Cloves, Cedar, Patchouli, Vetiver", Women, 2019
Lancôme, La Nuit Trésor à la Folie,"Red Currant, Pear, Pink Pepper, Bergamot","Damask Rose, Violet, Peony, Jasmine","Bourbon Vanilla, Tonka Bean, Benzoin, Nutmeg, Ambroxan, Patchouli, Woody Notes", Women, 2019
Tom Ford, Ombré Leather, Cardamom,"Leather, Jasmine Sambac","Amber, Moss, Patchouli", Men, 2019
Chanel, Bleu de Chanel Parfum,"Lemon Zest, Bergamot, Mint, Artemisia","Lavender, Pineapple, Geranium, Green Notes","Sandalwood, Cedar, Amberwood, Iso E Super, Tonka Bean", Men, 2019
Hermès, Terre D'Hermes Eau Intense Vetiver,"Bergamot, Grapefruit, Lemon","Sichuan Pepper, Geranium","Vetiver, Olibanum, Patchouli, Amberwood", Men, 2019
Giorgio Armani, Armani Code Absolu,"Green Mandarin, Apple","Nutmeg, Orange Blossom, Carrot Seeds","Vanilla, Tonka Bean, Suede, Woody Notes", Men, 2019
Yves Saint Laurent, Y Eau de Parfum,"Apple, Ginger, Bergamot","Sage, Juniper Berries, Geranium","Amberwood, Tonka Bean, Cedar, Vetiver, Olibanum", Men, 2019
Montblanc, Explorer,"Bergamot, Pink Pepper, Clary Sage","Haitian Vetiver, Leather","Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod", Men, 2019
Givenchy, Gentleman Eau de Parfum,"Black Pepper, Lavender, Bergamot","Orris, Cloves, Cinnamon","Black Vanilla Husk, Tolu Balsam, Tonka Bean, Benzoin, Patchouli", Men, 2019
Prada, Luna Rossa Black,"Bergamot","Angelica, Patchouli","Coumarin, Amber, Musk", Men, 2019
Dior, Sauvage Eau de Parfum, Bergamot,"Sichuan Pepper, Lavender, Star Anise, Nutmeg","Ambroxan, Vanilla", Men, 2019
Initio Parfums Prives, Oud for Greatness,"Saffron, Nutmeg, Lavender","Oud","Patchouli, Musk", Men, 2019
Chanel, Coromandel Parfum,"Bitter Orange, Neroli, Citruses","Patchouli, Orris Root, Jasmine, Rose","Olibanum, Benzoin, Labdanum", Unisex, 2019
Tom Ford, Ombré Leather Parfum,"Violet Leaf, Cedar","Jasmine Sambac, Orris","Leather, Woody Notes, Tobacco", Unisex, 2019
Dior, Fève Délicieuse,"Lavender, Mint, Calabrian Bergamot","Cherry, Freesia, Jasmine","Tonka Bean, Madagascar Vanilla, Caramel, Dark Chocolate, Benzoin, Sandalwood, Leather, Coconut, Cedar", Unisex, 2019
Guerlain, Bois Mystérieux,"Laurels, Neroli","Atlas Cedar, Patchouli, Jasmine","Myrrh, Leather", Unisex, 2019
Guerlain, Encens Mythique,"Aldehydes, Rose, Saffron","Pink Pepper, Vetiver, Patchouli","Ambergris, Olibanum, Woody Notes", Unisex, 2019
Gucci, Mémoire d’une Odeur,"Chamomile, Bitter Almond","Musk, Indian Jasmine, Jasmine","Sandalwood, Cedar, Vanilla", Unisex, 2019
Nishane, Ani,"Ginger, Bergamot, Pink Pepper","Cardamom, Black Pepper, Turkish Rose","Vanilla, Benzoin, Sandalwood, Cedar, Ambergris, Patchouli, Musk", Unisex, 2019
Initio Parfums Prives, Oud for Greatness,"Saffron, Nutmeg, Lavender","Oud","Patchouli, Musk", Unisex, 2019
Dior, Ambre Nuit,"Bergamot, Grapefruit","Damask Rose, Pink Pepper","Ambergris, Cedar, Guaiac Wood, Patchouli", Unisex, 2019
Dior, Oud Ispahan, Labdanum,"Rose, Patchouli, Saffron","Oud, Sandalwood, Cedar", Unisex, 2019
Guerlain, Shalimar Eau de Parfum,"Citruses, Bergamot, Lemon, Cedar, Mandarin Orange","Iris, Patchouli, Vetiver, Jasmine, Rose","Vanilla, Incense, Leather, Opoponax, Civet, Sandalwood, Tonka Bean, Musk", Women, 2018
Dior, Hypnotic Poison,"Coconut, Plum, Apricot","Brazilian Rosewood, Jasmine, Caraway, Tuberose, Rose, Lily-of-the-Valley","Vanilla, Almond, Sandalwood, Musk", Women, 2018
Chanel, Coco Mademoiselle,"Orange, Mandarin Orange, Bergamot, Orange Blossom","Turkish Rose, Jasmine, Mimosa, Ylang-Ylang","Patchouli, White Musk, Vanilla, Vetiver, Tonka Bean, Opoponax", Women, 2018
Dior, Dior Addict,"Blackberry, Mandarin Leaf, Silk Tree Blossom","Jasmine, Night Blooming Cereus, Orange Blossom, Rose","Vanilla, Tonka Bean, Sandalwood", Women, 2018
Mugler, Alien,"Jasmine Sambac","Cashmeran","Amber", Women, 2018
Chanel, Coco Eau de Parfum,"Bulgarian Rose, Coriander, Peach, Jasmine, Mandarin Orange","Cloves, Rose, Orange Blossom, Mimosa, Clover","Amber, Sandalwood, Tonka Bean, Civet, Opoponax, Vanilla, Labdanum", Women, 2018
Guerlain, Mon Guerlain,"Lavender, Bergamot","Iris, Jasmine Sambac, Rose","Tahitian Vanilla, Coumarin, Australian Sandalwood, Licorce, Benzoin, Patchouli", Women, 2018
Narciso Rodriguez, For Her,"African Orange Flower, Osmanthus, Bergamot","Musk, Amber","Vetiver, Vanilla, Patchouli", Women, 2018
Guerlain, Samsara Eau de Parfum,"Ylang-Ylang, Peach, Bergamot, Green Notes, Lemon","Iris, Jasmine, Narcissus, Orris Root, Rose, Violet","Sandalwood, Vanilla, Iris, Amber, Tonka Bean, Musk", Women, 2018
Chanel, Chanel No 5 Eau Premiere,"Aldehydes, Ylang-Ylang, Neroli","Jasmine, Rose","Vanilla, Sandalwood, Vetiver", Women, 2018
Dior, Dior Homme Intense, Lavender,"Iris, Ambrette, Pear","Virginia Cedar, Vetiver", Men, 2018
Hermès, Terre d'Hermes Parfum,"Orange, Grapefruit","Flint","Woody Notes, Oakmoss, Benzoin", Men, 2018
Creed, Aventus,"Pineapple, Bergamot, Black Currant, Apple","Birch, Patchouli, Moroccan Jasmine, Rose","Musk, Oakmoss, Ambergris, Vanilla", Men, 2018
Dior, Dior Homme Parfum,"Tuscan Iris, Italian Orange","Leather, Rose","Sandalwood, Ambrette, Oud, Cedar", Men, 2018
Yves Saint Laurent, La Nuit de L'Homme, Cardamom,"Lavender, Virginia Cedar, Bergamot","Vetiver, Caraway", Men, 2018
Lalique, Encre Noire, Cypress, Vetiver,"Cashmere Wood, Musk", Men, 2018
Hermès, Terre d'Hermès,"Orange, Grapefruit","Pepper, Pelargonium, Flint","Vetiver, Cedar, Patchouli, Benzoin", Men, 2018
Tom Ford, Oud Wood,"Cardamom, Rosewood, Sichuan Pepper","Oud, Sandalwood, Vetiver","Tonka Bean, Vanilla, Amber", Men, 2018
Dior, Fahrenheit,"Nutmeg Flower, Lavender, Cedar, Chamomile, Mandarin Orange, Hawthorn, Bergamot, Lemon","Violet Leaf, Nutmeg, Cedar, Sandalwood, Carnation, Honeysuckle, Jasmine, Lily-of-the-Valley","Leather, Vetiver, Musk, Amber, Patchouli, Tonka Bean", Men, 2018
Chanel, Bleu de Chanel,"Grapefruit, Lemon, Mint, Pink Pepper","Ginger, Nutmeg, Jasmine, Iso E Super","Incense, Vetiver, Cedar, Sandalwood, Patchouli, Labdanum, White Musk", Men, 2018
Tom Ford, Tobacco Vanille,"Tobacco Leaf, Spicy Notes","Vanilla, Cacao, Tonka Bean, Tobacco Blossom","Dried Fruits, Woody Notes", Unisex, 2018
Tauer Perfumes, 02 L'Air du Desert Marocain,"Coriander, Cumin, Petitgrain, Lavender","Labdanum, Birch, Jasmine, Geranium","Amber, Cedar, Vetiver, Patchouli, Oakmoss", Unisex, 2018
Serge Lutens, Chergui,"Hay, Iris, Rose","Honey, Musk, Incense, Tobacco, Amber","Sandalwood", Unisex, 2018
Mugler, Mugler Colone,"Neroli, Bergamot, Petitgrain", African Orange Flower, Musk,Unisex, 2018
Tom Ford, Black Orchid,"Truffle, Plum","Rum, Ylang-Ylang, Black Orchid","Patchouli", Unisex, 2018
Maison Francis Kurkdjian, Baccarat Rouge 540,"Saffron, Jasmine","Amberwood, Ambergris","Fir Resin, Cedar", Unisex, 2018
Chanel, Coromandel Parfum,"Bitter Orange, Neroli, Citruses","Patchouli, Orris Root, Jasmine, Rose","Olibanum, Benzoin, Labdanum", Unisex, 2018
Hermès, Un Jardin Sul Le Nil,"Grapefruit, Green Mango, Tomato, Carrot","Lotus, Bulrush, Orange, Hyacinth, Peony","Musk, Iris, Incense, Labdanum, Cinnamon", Unisex, 2018
Bvlgari, Black,"Green Tea, Bergamot, Rose","Sandalwood, Cedar, Jasmine","Leather, Vanilla, Amber, Musk, Oakmoss", Unisex, 2018
Tom Ford, Noir de Noir, Saffron,"Black Rose, Truffle, Floral Notes","Patchouli, Vanilla, Oud, Oakmoss", Unisex, 2018